Chart_Name,Score,For_2Page_Report,For_Policy_Presentation,For_Detailed_Analysis,For_Appendix,Shows_Country_Comparison,Shows_NL_Specific,Shows_Time_Trend,Shows_Sector_Detail,Shows_Funding_Amounts,Shows_Outcomes,Key_Insight
finding1_graduation_gap.png,24,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,NL converts Seed→A at 6.2% vs Israel 21%
finding2_rounds_matter.png,24,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,4+ rounds = 3x better acquisition rates
finding3_tortoise_effect.png,24,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,Rushing hurts NL most (2% vs 12%)
sq1_1b_funding_funnel.png,23,MAYBE,YES,YES,NO,YES,YES,NO,NO,NO,YES,Valley of Death visual - stage progression
survival_funnel.png,23,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,Duplicate of funnel - choose one
sq1_2b_timing_outcomes.png,22,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,Patience pays - detailed timing breakdown
conversion_rates.png,22,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,Stage-to-stage conversion comparison
timing_vs_outcomes.png,21,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,Patient companies win - all countries
part0_strengths.png,21,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,What NL does well - balance the story
sq1_1a_success_scorecard.png,21,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,Success metrics scorecard
rounds_vs_survival.png,20,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,Rounds matter - detailed view
sq1_2c_avg_rounds.png,20,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,NL avg 1.46 rounds vs USA 1.86
sq2_priority_ranking.png,20,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,Policy priorities ranked
diversity_vs_outcomes.png,20,NO,MAYBE,YES,YES,YES,NO,NO,NO,NO,YES,Funding diversity correlates with success
finding7_funding_comparison.png,19,NO,MAYBE,YES,YES,YES,YES,NO,NO,YES,NO,Total funding by country
sq1_2a_round_sizes.png,19,NO,MAYBE,YES,YES,YES,YES,NO,NO,YES,NO,Round sizes: NL vs peers
nl_timing_impact.png,19,NO,MAYBE,YES,YES,NO,YES,NO,NO,NO,YES,NL-specific timing analysis
living_dead.png,19,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,Living dead rate - stuck at 1 round
funding_by_country.png,19,NO,MAYBE,YES,YES,YES,NO,NO,NO,YES,NO,Mean/median funding comparison
sq1_3_sector_gap.png,18,NO,MAYBE,YES,YES,YES,YES,NO,YES,NO,YES,NL vs USA by sector
sq1_3c_sector_conversion.png,17,NO,MAYBE,YES,YES,NO,YES,NO,YES,NO,YES,Seed→A by sector
funding_type_by_country.png,17,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,Funding type usage
status_by_country.png,17,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,Company status breakdown
funding_diversity_by_country.png,17,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,Diversity score by country
finding8_time_series_trends.png,17,NO,MAYBE,YES,YES,NO,YES,YES,NO,YES,NO,NL trends 2005-2014
time_between_rounds.png,16,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,Time between rounds
velocity_vs_outcomes.png,16,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,Funding velocity analysis
nl_sector_funding_vs_exits.png,16,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,Sector scatter - funding vs exits
finding8b_sector_trends.png,16,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,Sector growth over time
angel_vs_venture.png,15,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,Angel vs venture mix
nl_sector_survival.png,15,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NL sector survival rates
sq2_policy_matrix.png,15,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,Policy recommendations table
finding5_regional_nl.png,15,NO,MAYBE,YES,YES,NO,YES,NO,NO,NO,YES,Regional analysis - no effect found
nl_geographic_funding.png,15,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,Funding by NL city/province
nl_diversity_outcomes.png,14,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NL diversity vs outcomes
nl_vc_investment_by_industry_year.png,14,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,Industry by year breakdown
finding4_international_timeline.png,14,NO,MAYBE,NO,YES,YES,NO,NO,NO,NO,NO,Policy timeline - not your data
funding_sector_country_heatmap.png,14,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,Sector funding heatmap
time_to_first_distribution.png,14,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,Timing distributions
correlation_heatmap.png,14,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,Variable correlations
funding_distributions.png,13,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,EDA - funding amounts
sector_distribution.png,13,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,EDA - sector counts
round_size_distributions.png,13,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,EDA - round sizes
timing_distributions.png,13,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,EDA - timing
status_distributions.png,13,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,EDA - company status
country_distribution.png,13,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,EDA - country counts
nl_city_distribution.png,13,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,EDA - NL city counts
sector_by_country.png,12,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,EDA - sector comparison
year_distributions.png,12,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,EDA - year distributions
funding_type_distributions.png,12,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,EDA - funding types
nl_sector_exit_rates.png,11,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,EDA - NL sector exits
